Date : 2024-11-12 12:12:41
Directory : c:\Users\PC REPORTES\Desktop\Spring\api
Total : 90 files,  2313 codes, 96 comments, 739 blanks, all 3148 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\ReporteValidatorConfig.java                    | Java            |         37 |          0 |          8 |         45 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\config\ValidatorConfig.java                           | Java            |         11 |          0 |          6 |         17 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\BaseController.java                        | Java            |         40 |          0 |         11 |         51 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\ReporteAccidenteController.java            | Java            |         13 |          0 |          6 |         19 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\ReporteAuxilioVialController.java          | Java            |         13 |          0 |          6 |         19 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\ReporteDiarioController.java               | Java            |         14 |          0 |          6 |         20 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\ReporteServicioGruaController.java         | Java            |         13 |          0 |          6 |         19 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\controller\VehiculoController.java                    | Java            |         13 |          0 |          6 |         19 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\exceptions\EntityFoundException.java                  | Java            |          6 |          0 |          2 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\exceptions\EntityNotFoundException.java               | Java            |          6 |          0 |          4 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\handler\GlobalExceptionHandler.java                   | Java            |         42 |          1 |         11 |         54 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\base\Copyable.java                             | Java            |          5 |         20 |          4 |         29 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\base\Dateable.java                             | Java            |          5 |          0 |          3 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\base\Identificable.java                        | Java            |          4 |         16 |          3 |         23 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\CamionetaDTO.java                          | Java            |         18 |          0 |          8 |         26 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\DireccionDTO.java                          | Java            |         16 |          0 |          8 |         24 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ReporteAccidenteDTO.java                   | Java            |         36 |          0 |         12 |         48 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ReporteAuxilioVialDTO.java                 | Java            |         29 |          0 |         12 |         41 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ReporteDiarioDTO.java                      | Java            |         36 |          0 |         15 |         51 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ReporteServicioAmbulanciaDTO.java          | Java            |         22 |          0 |         10 |         32 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ReporteServicioGruaDTO.java                | Java            |         24 |          0 |         10 |         34 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\ResponsableDTO.java                        | Java            |         15 |          0 |          7 |         22 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\TipoAccidenteDTO.java                      | Java            |         14 |          0 |          6 |         20 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\UsuarioConductorDTO.java                   | Java            |         16 |          0 |          8 |         24 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\dto\VehiculoDTO.java                           | Java            |         22 |          0 |          7 |         29 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\Camioneta.java                        | Java            |         39 |          0 |         10 |         49 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\Categoria.java                        | Java            |          4 |          0 |          2 |          6 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\Direccion.java                        | Java            |         48 |          0 |         10 |         58 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\PuntoReferencia.java                  | Java            |         38 |          0 |          9 |         47 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\ReporteAccidente.java                 | Java            |         68 |          0 |         14 |         82 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\ReporteAuxilioVial.java               | Java            |         53 |          0 |         13 |         66 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\ReporteDiario.java                    | Java            |         62 |          0 |         16 |         78 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\ReporteServicioAmbulancia.java        | Java            |         45 |          0 |         10 |         55 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\ReporteServicioGrua.java              | Java            |         45 |          0 |         11 |         56 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\Responsable.java                      | Java            |         40 |          0 |         10 |         50 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\TipoAccidente.java                    | Java            |         37 |          0 |          9 |         46 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\UsuarioConductor.java                 | Java            |         44 |          0 |         10 |         54 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\entities\Vehiculo.java                         | Java            |         49 |          0 |         11 |         60 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\models\factory\EntityFactory.java                     | Java            |         10 |          0 |          4 |         14 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\CamionetaRepository.java                 | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\DireccionRepository.java                 | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteAccidenteRepository.java          | Java            |          4 |          0 |          4 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteAuxilioVialRepository.java        | Java            |          4 |          0 |          4 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteDiarioRepository.java             | Java            |          4 |          0 |          4 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteRepository.java                   | Java            |          8 |          0 |          4 |         12 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteServicioAmbulanciaRepository.java | Java            |          4 |          0 |          4 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ReporteServicioGruaRepository.java       | Java            |          4 |          0 |          4 |          8 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\ResponsableRepository.java               | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\TipoAccidenteRepository.java             | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\UsuarioConductorRepository.java          | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\repositories\VehiculoRepository.java                  | Java            |          5 |          0 |          5 |         10 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\response\ResponseBody.java                            | Java            |         10 |          0 |          6 |         16 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\response\ResponseStatus.java                          | Java            |          4 |          0 |          2 |          6 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\ReporteDiarioService.java                    | Java            |         15 |          0 |          6 |         21 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\base\BaseCrudService.java                    | Java            |        102 |         12 |         29 |        143 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\base\ReporteBaseCrudService.java             | Java            |         26 |          0 |          9 |         35 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\base\interfaces\BaseService.java             | Java            |         22 |          0 |         11 |         33 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\DTOProcessService.java                   | Java            |          5 |          0 |          4 |          9 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\ReportServicioGruaDTOProcess.java        | Java            |         21 |          0 |          8 |         29 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\ReporteAccidenteDTOProcess.java          | Java            |         41 |          0 |         14 |         55 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\ReporteAuxilioVialDTOService.java        | Java            |         28 |          0 |         13 |         41 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\ReporteDiarioDTOProcess.java             | Java            |         29 |          0 |         14 |         43 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\ReporteServicioAmbulanciaDTOProcess.java | Java            |         21 |          0 |          9 |         30 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\services\dto\VehiculoDTOProcess.java                  | Java            |         22 |          0 |         11 |         33 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\validator\base\ReporteValidator.java                  | Java            |         19 |          1 |          9 |         29 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\validator\base\Validator.java                         | Java            |         16 |          1 |          8 |         25 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\java\com\globalvia\genovias\api\validator\base\VoidCallback.java                      | Java            |          5 |          0 |          4 |          9 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\main\resources\application.properties                                                      | Java Properties |         10 |          0 |          5 |         15 |
| c:\Users\PC REPORTES\Desktop\Spring\api\src\test\java\com\globalvia\genovias\api\ApiApplicationTests.java                              | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                                                  |                 |      2,313 |         96 |        739 |      3,148 |
+----------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
